"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jan-2022","EQ","529.00","540.90","527.05","523.45","537.95","538.30","535.63","542.30","282.75",28674232,"15,358,865,480.55",315416
"28-Jan-2022","EQ","534.00","536.40","521.40","528.95","523.30","523.45","529.78","542.30","269.50",24715250,"13,093,592,191.65",310048
"27-Jan-2022","EQ","503.55","530.85","503.20","514.65","529.00","528.95","520.47","542.30","269.50",35409230,"18,429,506,726.90",391838
"25-Jan-2022","EQ","490.00","517.50","489.00","494.15","513.35","514.65","507.46","542.30","269.50",21791739,"11,058,388,452.70",290929
"24-Jan-2022","EQ","502.40","506.80","488.00","502.70","493.70","494.15","497.31","542.30","269.50",20233933,"10,062,560,914.35",255220
"21-Jan-2022","EQ","505.30","507.50","498.00","511.40","504.05","502.70","503.16","542.30","269.50",16947941,"8,527,531,247.25",215520
"20-Jan-2022","EQ","516.00","519.15","508.00","515.80","511.00","511.40","513.81","542.30","269.50",17724642,"9,107,052,842.40",193420
"19-Jan-2022","EQ","505.00","517.65","500.30","506.80","515.05","515.80","508.61","542.30","269.50",16079457,"8,178,248,303.40",190208
"18-Jan-2022","EQ","514.00","517.45","505.00","514.00","507.40","506.80","512.70","542.30","269.50",12592506,"6,456,195,519.55",144399
"17-Jan-2022","EQ","508.00","518.90","507.55","508.35","514.20","514.00","515.37","542.30","269.50",17422211,"8,978,884,449.10",230852
"14-Jan-2022","EQ","509.00","510.35","505.15","511.35","507.75","508.35","507.82","542.30","269.50",8724574,"4,430,518,916.80",151240
"13-Jan-2022","EQ","510.00","512.85","507.00","510.25","511.50","511.35","510.36","542.30","269.50",10450974,"5,333,762,558.50",160127
"12-Jan-2022","EQ","509.90","513.50","508.50","505.95","509.95","510.25","511.05","542.30","269.50",14489616,"7,404,903,048.50",178769
"11-Jan-2022","EQ","503.00","507.80","499.25","503.65","505.75","505.95","504.20","542.30","269.50",16107950,"8,121,696,006.40",214059
"10-Jan-2022","EQ","493.35","504.95","492.50","491.25","504.75","503.65","499.62","542.30","269.50",15832274,"7,910,180,279.85",178755
"07-Jan-2022","EQ","493.45","501.95","489.45","491.70","491.25","491.25","495.38","542.30","269.50",22746330,"11,268,085,856.65",254165
"06-Jan-2022","EQ","487.70","494.40","485.40","492.40","491.35","491.70","490.44","542.30","269.50",18190843,"8,921,514,100.80",195393
"05-Jan-2022","EQ","481.90","495.00","479.15","483.50","491.70","492.40","489.50","542.30","269.50",24694169,"12,087,915,535.95",240463
"04-Jan-2022","EQ","472.50","484.70","471.05","470.80","483.75","483.50","479.89","542.30","269.50",23296671,"11,179,852,628.40",246431
"03-Jan-2022","EQ","462.00","472.00","460.10","460.45","471.50","470.80","467.17","542.30","269.50",13124509,"6,131,388,321.75",168001
"31-Dec-2021","EQ","454.25","461.40","453.10","451.70","460.20","460.45","459.07","542.30","268.00",10005842,"4,593,371,921.95",128788
"30-Dec-2021","EQ","452.75","454.90","448.50","454.40","453.05","451.70","451.71","542.30","268.00",28879190,"13,045,096,929.05",198099
"29-Dec-2021","EQ","461.00","462.15","451.40","461.20","453.20","454.40","457.66","542.30","268.00",11757303,"5,380,869,113.55",148597
"28-Dec-2021","EQ","461.20","462.90","459.05","458.05","460.55","461.20","461.10","542.30","268.00",8832210,"4,072,492,143.05",111561
"27-Dec-2021","EQ","453.70","460.50","450.55","456.95","459.40","458.05","456.62","542.30","268.00",8856482,"4,044,023,092.90",133445
"24-Dec-2021","EQ","462.60","463.60","452.20","461.80","457.25","456.95","456.35","542.30","248.25",13221159,"6,033,444,238.00",139530
"23-Dec-2021","EQ","461.00","465.00","457.75","455.85","460.70","461.80","461.46","542.30","248.25",14471377,"6,678,004,894.25",196406
